tool;sol_version;type;name;insecure;error;ground_truth;filename
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\FixedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\FixedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\Intermediary.hex
ethor-2023;NonReentrant;No;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\NonReentrant\Bank.hex
ethor-2023;NonReentrant;No;Intermediary.hex;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\NonReentrant\Intermediary.hex
ethor-2023;ReentrantCodeParts;No;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\ReentrantCodeParts\FixedAddress\Bank.hex
ethor-2023;ReentrantCodeParts;No;Intermediary.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\ReentrantCodeParts\FixedAddress\Intermediary.hex
ethor-2023;ReentrantCodeParts;No;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\ReentrantCodeParts\UserDefinedAddress\Bank.hex
ethor-2023;ReentrantCodeParts;No;Intermediary.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\ReentrantCodeParts\UserDefinedAddress\Intermediary.hex
ethor-2023;NonVulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\NonVulnerable\FixedAddress\Bank.hex
ethor-2023;NonVulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\NonVulnerable\FixedAddress\Intermediary.hex
ethor-2023;NonVulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\NonVulnerable\UserDefinedAddress\Bank.hex
ethor-2023;NonVulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\NonVulnerable\UserDefinedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\EtherLoss\FixedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\EtherLoss\FixedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\Intermediary.hex
ethor-2023;NonReentrant;No;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\No\NonReentrant\Bank.hex
ethor-2023;NonReentrant;No;Intermediary.hex;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\No\NonReentrant\Intermediary.hex
ethor-2023;ReentrantCodeParts;No;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\No\ReentrantCodeParts\FixedAddress\Bank.hex
ethor-2023;ReentrantCodeParts;No;Intermediary.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\No\ReentrantCodeParts\FixedAddress\Intermediary.hex
ethor-2023;ReentrantCodeParts;No;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\No\ReentrantCodeParts\UserDefinedAddress\Bank.hex
ethor-2023;ReentrantCodeParts;No;Intermediary.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\No\ReentrantCodeParts\UserDefinedAddress\Intermediary.hex
ethor-2023;NonVulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\NonVulnerable\FixedAddress\Bank.hex
ethor-2023;NonVulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\NonVulnerable\FixedAddress\Intermediary.hex
ethor-2023;NonVulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\NonVulnerable\UserDefinedAddress\Bank.hex
ethor-2023;NonVulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\NonVulnerable\UserDefinedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\Vulnerable\EtherLoss\FixedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\Vulnerable\EtherLoss\FixedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\Intermediary.hex
ethor-2023;Vulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\Bank.hex
ethor-2023;Vulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v7\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\Intermediary.hex
ethor-2023;NonReentrant;No;Bank.hex;;1;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v8\No\NonReentrant\Bank.hex
ethor-2023;NonReentrant;No;Intermediary.hex;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v8\No\NonReentrant\Intermediary.hex
ethor-2023;ReentrantCodeParts;No;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v8\No\ReentrantCodeParts\FixedAddress\Bank.hex
ethor-2023;ReentrantCodeParts;No;Intermediary.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v8\No\ReentrantCodeParts\FixedAddress\Intermediary.hex
ethor-2023;ReentrantCodeParts;No;Bank.hex;;1;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v8\No\ReentrantCodeParts\UserDefinedAddress\Bank.hex
ethor-2023;ReentrantCodeParts;No;Intermediary.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v8\No\ReentrantCodeParts\UserDefinedAddress\Intermediary.hex
ethor-2023;NonVulnerable;Reentrant;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v8\Reentrant\NonVulnerable\FixedAddress\Bank.hex
ethor-2023;NonVulnerable;Reentrant;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v8\Reentrant\NonVulnerable\FixedAddress\Intermediary.hex
