tool;sol_version;type;subtype;name;insecure;error;ground_truth;filename
ethor-2023;v5;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;Intermediary.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\No\ReentrantCodeParts\FixedAddress\Intermediary.hex
ethor-2023;v5;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\No\ReentrantCodeParts\UserDefinedAddress\Bank.hex
ethor-2023;v5;CreateBasedReentrancy;ReentrantCodePartsUserDefinedAddress;Intermediary.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\No\ReentrantCodeParts\UserDefinedAddress\Intermediary.hex
ethor-2023;v5;CreateBasedReentrancy;NonVulnerableFixedAddress;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\NonVulnerable\FixedAddress\Bank.hex
ethor-2023;v5;CreateBasedReentrancy;NonVulnerableFixedAddress;Intermediary.hex;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\NonVulnerable\FixedAddress\Intermediary.hex
ethor-2023;v5;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\NonVulnerable\UserDefinedAddress\Bank.hex
ethor-2023;v5;CreateBasedReentrancy;NonVulnerableUserDefinedAddress;Intermediary.hex;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\NonVulnerable\UserDefinedAddress\Intermediary.hex
ethor-2023;v5;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\FixedAddress\Bank.hex
ethor-2023;v5;CreateBasedReentrancy;VulnerableEtherLossFixedAddress;Intermediary.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\FixedAddress\Intermediary.hex
ethor-2023;v5;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\Bank.hex
ethor-2023;v5;CreateBasedReentrancy;VulnerableEtherLossUserDefinedAddress;Intermediary.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\EtherLoss\UserDefinedAddress\Intermediary.hex
ethor-2023;v5;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\Bank.hex
ethor-2023;v5;CreateBasedReentrancy;VulnerableNoEtherLossFixedAddress;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\FixedAddress\Intermediary.hex
ethor-2023;v5;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;Bank.hex;1;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\Bank.hex
ethor-2023;v5;CreateBasedReentrancy;VulnerableNoEtherLossUserDefinedAddress;Intermediary.hex;0;;1;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v5\Reentrant\Vulnerable\NoEtherLoss\UserDefinedAddress\Intermediary.hex
ethor-2023;v6;CreateBasedReentrancy;NonReentrant;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\NonReentrant\Bank.hex
ethor-2023;v6;CreateBasedReentrancy;NonReentrant;Intermediary.hex;0;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\NonReentrant\Intermediary.hex
ethor-2023;v6;CreateBasedReentrancy;ReentrantCodePartsFixedAddress;Bank.hex;1;;0;\Users\Lisa\Documents\Uni\Diplomarbeit\testdata_new\CreateBasedReentrancy\v6\No\ReentrantCodeParts\FixedAddress\Bank.hex
